City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,2021-10-11 01:11:28,3.0707,172.7902,81.97,65,17,8.99,few clouds
1,Bolgar,RU,2021-10-11 01:11:29,54.95,49.0667,48.54,79,100,6.82,overcast clouds
2,Cape Town,ZA,2021-10-11 01:07:11,-33.9258,18.4232,65.12,50,100,4.05,overcast clouds
3,Qaanaaq,GL,2021-10-11 01:11:30,77.484,-69.3632,29.46,89,100,8.23,overcast clouds
4,Upernavik,GL,2021-10-11 01:09:09,72.7868,-56.1549,33.26,97,100,12.77,light snow
5,Skjervoy,NO,2021-10-11 01:11:31,70.0311,20.9714,47.75,88,100,9.93,overcast clouds
6,Huarmey,PE,2021-10-11 01:11:31,-10.0681,-78.1522,64.45,89,52,7.07,broken clouds
7,Longyearbyen,SJ,2021-10-11 01:11:35,78.2186,15.6401,28.24,74,75,12.66,broken clouds
8,Jinchang,CN,2021-10-11 01:11:35,38.4953,102.1739,43.68,47,0,2.71,clear sky
9,Atuona,PF,2021-10-11 01:11:35,-9.8,-139.0333,78.31,75,13,19.19,few clouds
10,Touros,BR,2021-10-11 01:11:37,-5.1989,-35.4608,79.7,76,11,12.33,few clouds
11,Kalmunai,LK,2021-10-11 01:11:37,7.4167,81.8167,80.08,77,80,3.65,broken clouds
12,Garowe,SO,2021-10-11 01:11:38,8.4054,48.4845,78.49,69,84,8.41,light rain
13,Dikson,RU,2021-10-11 01:11:38,73.5069,80.5464,28.99,65,100,21.09,overcast clouds
14,Anadyr,RU,2021-10-11 01:11:40,64.75,177.4833,23.5,92,75,8.95,broken clouds
15,Kudahuvadhoo,MV,2021-10-11 01:11:40,2.6708,72.8944,82.89,74,35,14.52,scattered clouds
16,Kaitangata,NZ,2021-10-11 01:11:40,-46.2817,169.8464,52.29,77,100,9.55,light rain
17,Half Moon Bay,US,2021-10-11 01:11:40,37.4636,-122.4286,77.74,70,20,1.99,mist
18,Punta Arenas,CL,2021-10-11 01:11:41,-53.15,-70.9167,46.51,49,40,28.77,scattered clouds
19,Sembe,CG,2021-10-11 01:11:41,1.6481,14.5806,69.33,99,100,1.81,overcast clouds
