City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Krasnyy Chikoy,RU,2021-10-10 20:01:36,50.3643,108.7512,31.01,82,9,3.58
1,Tuktoyaktuk,CA,2021-10-10 20:01:37,69.4541,-133.0374,30.2,86,90,9.22
2,Cayenne,GF,2021-10-10 20:01:37,4.9333,-52.3333,87.84,76,0,5.01
3,Avarua,CK,2021-10-10 20:01:38,-21.2078,-159.775,75.25,73,100,6.91
4,Klaksvik,FO,2021-10-10 20:00:52,62.2266,-6.589,41.92,72,100,21.45
5,Whitehorse,CA,2021-10-10 20:01:39,60.7161,-135.0538,39.09,70,82,2.8
6,Mataura,NZ,2021-10-10 20:02:01,-46.1927,168.8643,48.47,83,100,2.13
7,Cape Town,ZA,2021-10-10 20:00:51,-33.9258,18.4232,65.12,62,98,3.98
8,Dunedin,NZ,2021-10-10 20:02:01,-45.8742,170.5036,53.92,68,100,2.98
9,Saint George,US,2021-10-10 19:57:09,37.1041,-113.5841,71.44,33,0,1.99
10,Vila Franca Do Campo,PT,2021-10-10 20:02:02,37.7167,-25.4333,70.21,87,100,9.84
11,Georgetown,MY,2021-10-10 20:02:00,5.4112,100.3354,79.9,86,20,0.0
12,Jamestown,US,2021-10-10 19:59:46,42.097,-79.2353,72.52,67,40,8.01
13,Contamana,PE,2021-10-10 20:02:04,-7.3333,-75.0167,92.59,44,99,2.64
14,Busselton,AU,2021-10-10 20:02:05,-33.65,115.3333,54.09,75,94,14.54
15,Tangzhai,CN,2021-10-10 20:02:05,34.4328,116.5911,54.99,61,100,9.35
16,Albany,US,2021-10-10 19:57:55,42.6001,-73.9662,67.03,76,97,1.99
17,Castro,BR,2021-10-10 20:02:07,-24.7911,-50.0119,58.26,92,100,9.64
18,Hermanus,ZA,2021-10-10 19:59:10,-34.4187,19.2345,64.9,68,97,8.99
19,Saskylakh,RU,2021-10-10 19:59:43,71.9167,114.0833,14.65,96,100,6.85
20,Novikovo,RU,2021-10-10 20:02:08,51.1537,37.8879,44.15,58,99,4.94
21,Ancud,CL,2021-10-10 20:01:31,-41.8697,-73.8203,55.42,76,100,7.96
22,Pangnirtung,CA,2021-10-10 20:02:10,66.1451,-65.7125,30.2,100,90,9.22
23,Chernyshevskiy,RU,2021-10-10 20:02:10,63.0128,112.4714,28.08,70,94,16.24
24,Invermere,CA,2021-10-10 19:58:49,50.5167,-116.0354,44.17,88,100,2.06
25,Kapaa,US,2021-10-10 20:02:11,22.0752,-159.319,78.19,70,22,7.0
26,Ushuaia,AR,2021-10-10 20:01:35,-54.8,-68.3,45.19,63,32,11.16
27,Odiongan,PH,2021-10-10 20:02:12,12.4017,121.9919,81.57,86,31,19.98
28,Port Elizabeth,ZA,2021-10-10 19:57:29,-33.918,25.5701,61.09,77,40,18.41
29,Lebu,CL,2021-10-10 19:57:14,-37.6167,-73.65,55.54,72,17,10.78
30,Itarema,BR,2021-10-10 20:02:12,-2.9248,-39.9167,81.16,72,6,18.39
31,Butaritari,KI,2021-10-10 20:02:13,3.0707,172.7902,81.23,70,65,11.32
32,Upernavik,GL,2021-10-10 20:02:13,72.7868,-56.1549,32.99,98,100,12.15
33,Beringovskiy,RU,2021-10-10 19:57:51,63.05,179.3167,29.59,85,100,13.2
34,Rikitea,PF,2021-10-10 19:58:50,-23.1203,-134.9692,74.64,81,95,18.81
35,Faanui,PF,2021-10-10 20:02:14,-16.4833,-151.75,78.94,75,24,12.88
36,Punta Arenas,CL,2021-10-10 20:02:15,-53.15,-70.9167,53.11,34,11,27.54
37,Airai,TL,2021-10-10 20:02:17,-8.9266,125.4092,60.62,71,100,1.1
38,New Norfolk,AU,2021-10-10 20:02:17,-42.7826,147.0587,41.92,76,85,2.37
39,Nome,US,2021-10-10 20:02:18,64.5011,-165.4064,33.87,80,75,0.0
40,Suntar,RU,2021-10-10 20:02:19,62.1444,117.6319,33.35,80,100,13.56
41,Mahebourg,MU,2021-10-10 20:02:19,-20.4081,57.7,71.26,90,92,9.33
42,Vaini,TO,2021-10-10 20:02:20,-21.2,-175.2,73.76,76,100,8.95
43,Bluff,NZ,2021-10-10 20:02:20,-46.6,168.3333,48.79,91,100,7.52
44,Amazar,RU,2021-10-10 20:02:21,53.858,120.875,31.95,76,13,3.42
45,Souillac,MU,2021-10-10 20:02:23,-20.5167,57.5167,71.37,90,94,9.78
46,Los Llanos De Aridane,ES,2021-10-10 20:02:23,28.6585,-17.9182,69.55,85,20,16.11
